maleup_fn,femaleup_fn,malesame_fn,femalesame_fn,maledown_fn,femaledown_fn
10,10,90,90,0,0
20,40,80,60,0,0
0,0,100,100,0,0
0,0,100,100,0,0
0,0,100,100,0,0
10,10,90,90,0,0
50,50,50,50,0,0
5,5,95,95,0,0
50,50,50,50,0,0
0,0,100,100,0,0
10,10,90,90,0,0
15,15,80,80,5,5
5,5,90,90,5,5
1,2,99,98,0,0
0,0,100,100,0,0
0,0,100,100,0,0
20,20,80,80,0,0
1,1,99,99,0,0
1,1,99,99,0,0
0,0,100,100,0,0
0,0,100,100,0,0
0,0,50,100,50,0
0,0,100,100,0,0
50,80,50,20,0,0
10,20,90,80,0,0
30,50,70,50,0,0
50,50,50,50,0,0
25,25,75,75,0,0
1,3,95,95,4,2
0,0,100,100,0,0
0,0,100,100,0,0
25,25,50,50,25,25
0,0,100,100,0,0
0,0,100,100,0,0
50,50,50,50,0,0
0,0,100,100,0,0
1,1,99,99,0,0
80,60,20,40,0,0
5,5,94,94,1,1
50,50,50,50,0,0
0,0,100,100,0,0
0,0,100,100,0,0
6,4,94,96,0,0
55,55,45,45,0,0
10,10,90,90,0,0
20,20,80,80,0,0
60,60,40,40,0,0
100,100,0,0,0,0
0,0,100,100,0,0
5,5,90,90,5,5
10,10,90,90,0,0
50,50,50,50,0,0
0,0,100,100,0,0
5,5,95,95,0,0
0,0,100,100,0,0
50,50,50,50,0,0
0,0,100,100,0,0
50,50,50,50,0,0
50,10,50,90,0,0
50,50,50,50,0,0
25,25,75,75,0,0
5,10,93,90,2,0
5,5,95,95,0,0
0,0,100,100,0,0
0,0,100,100,0,0
0,0,100,100,0,0
20,40,30,20,50,40
100,100,0,0,0,0
0,0,100,100,0,0
25,25,75,75,0,0
10,10,90,90,0,0
0,0,100,100,0,0
0,0,100,100,0,0
0,0,100,100,0,0
5,5,95,95,0,0
30,0,70,100,0,0
20,10,60,60,20,30
10,10,90,90,0,0
0,0,100,100,0,0
50,50,50,50,0,0
80,80,20,20,0,0
10,10,90,90,0,0
0,0,100,100,0,0
10,10,90,90,0,0
50,50,50,50,0,0
5,5,95,95,0,0
100,100,0,0,0,0
90,100,10,0,0,0
10,10,90,90,0,0
20,20,80,80,0,0
0,0,100,100,0,0
20,20,80,80,0,0
0,0,100,100,0,0
40,40,60,60,0,0
0,0,100,100,0,0
0,0,100,100,0,0
15,15,85,85,0,0
0,0,100,100,0,0
0,0,100,100,0,0
0,0,100,100,0,0
80,80,20,20,0,0
25,25,75,75,0,0
2,2,98,98,0,0
50,0,50,100,0,0
5,20,95,80,0,0
0,0,100,100,0,0
0,100,100,0,0,0
100,100,0,0,0,0
5,10,95,90,0,0
0,0,100,100,0,0
0,0,100,100,0,0
25,25,75,75,0,0
10,10,90,90,0,0
2,2,98,98,0,0
0,0,100,100,0,0
10,15,90,85,0,0
5,5,95,95,0,0
0,1,100,99,0,0
75,75,25,25,0,0
0,0,100,100,0,0
10,20,90,80,0,0
10,10,80,80,10,10
75,75,25,25,0,0
0,50,100,50,0,0
5,5,95,95,0,0
2,10,98,90,0,0
0,0,100,100,0,0
